Date,Open,High,Low,Close,Volume,Adj Close
2016-09-30,23.74,23.84,23.620001,23.65,129700,23.65
2016-09-29,23.83,23.85,23.51,23.60,42600,23.60
2016-09-28,23.60,23.790001,23.50,23.75,24200,23.75
2016-09-27,23.549999,23.75,23.52,23.639999,40200,23.639999
2016-09-26,23.940001,24.00,23.469999,23.629999,30100,23.629999
2016-09-23,24.129999,24.219999,23.879999,24.049999,56800,24.049999
2016-09-22,23.49,24.18,23.49,24.10,56700,24.10
2016-09-21,23.209999,23.58,23.030001,23.379999,70900,23.379999
2016-09-20,23.17,23.26,22.98,23.07,35200,23.07
2016-09-19,23.219999,23.27,22.959999,23.120001,34300,23.120001
2016-09-16,22.959999,23.209999,22.959999,23.16,82600,23.16
2016-09-15,22.700001,23.25,22.530001,23.01,42300,23.01
2016-09-14,22.809999,22.879999,22.66,22.690001,33700,22.690001
2016-09-13,22.75,22.889999,22.530001,22.809999,59300,22.809999
2016-09-12,22.90,22.950001,22.74,22.85,109100,22.85
2016-09-09,23.530001,23.530001,23.02,23.030001,115900,23.030001
2016-09-08,23.799999,23.83,23.549999,23.60,32600,23.60
2016-09-07,23.690001,23.889999,23.690001,23.85,143500,23.85
2016-09-06,23.780001,23.790001,23.43,23.68,43500,23.68
2016-09-02,23.450001,23.93,23.41,23.84,31300,23.84
/n
